Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Discount,Salesperson,sales,PaymentMethod,Promotion,Returned,OrderID,CustomerName,ShippingCost,OrderDate,DeliveryDate,RegionManager
5/11/2025,West,Chair,17,162.96,Store A,Wholesale,0.05,Eva,2631.804,Gift Card,FREESHIP,0,REG100015,Cust 7037,8.11,5/11/2025,5/17/2025,Wendy
2/26/2023,West,Laptop,19,236.11,Store D,Wholesale,0,Bob,4486.09,Online,WINTER15,0,REG100016,Cust 4975,34.11,2/26/2023,3/4/2023,Wendy
5/28/2024,Central,Desk,11,573.14,Store D,Retail,0.05,Diana,5989.313,Cash,SAVE10,0,REG100017,Cust 8014,34.71,5/28/2024,6/1/2024,Cameron
11/30/2023,East,Phone,20,519.04,Store B,Retail,0.15,Carlos,8823.68,Gift Card,FREESHIP,0,REG100018,Cust 1228,19.43,11/30/2023,12/8/2023,Eric
6/22/2023,West,Desk,14,30.83,Store B,Retail,0,Carlos,431.62,Online,WINTER15,1,REG100019,Cust 4247,7.1,6/22/2023,7/2/2023,Wendy
6/5/2025,West,Phone,10,319.05,Store D,Wholesale,0,Diana,3190.5,Online,,0,REG100020,Cust 4199,28.43,6/5/2025,6/8/2025,Wendy
3/3/2023,Central,Chair,14,312.79,Store A,Retail,0.05,Bob,4160.107,Online,,1,REG100021,Cust 4186,46.83,3/3/2023,3/8/2023,Cameron
2/18/2024,North,Laptop,14,395.45,Store C,Retail,0,Carlos,5536.3,Cash,FREESHIP,1,REG100022,Cust 8137,36.45,2/18/2024,2/22/2024,Ryan
8/6/2023,Central,Laptop,12,472.72,Store D,Retail,0.15,Diana,4821.744,Credit Card,,0,REG100023,Cust 4638,27.97,8/6/2023,8/14/2023,Cameron
5/23/2024,North,Desk,5,288.01,Store A,Wholesale,0,Eva,1440.05,Credit Card,FREESHIP,0,REG100024,Cust 8538,46.69,5/23/2024,5/30/2024,Ryan
10/23/2023,East,Phone,13,562.29,Store D,Retail,0,Diana,7309.77,Gift Card,SAVE10,0,REG100025,Cust 6322,38.13,10/23/2023,10/28/2023,Eric
6/16/2025,West,Phone,1,101.73,Store D,Retail,0,Frank,101.73,Debit Card,WINTER15,0,REG100026,Cust 2609,11.59,6/16/2025,6/25/2025,Wendy
3/3/2023,North,Phone,4,279.49,Store B,Retail,0,Diana,1117.96,Credit Card,FREESHIP,0,REG100027,Cust 6880,24.78,3/3/2023,3/8/2023,Ryan
11/18/2024,South,Laptop,1,178.55,Store A,Retail,0.15,Carlos,151.7675,Debit Card,SAVE10,1,REG100028,Cust 1997,7.61,11/18/2024,11/21/2024,Sophie
5/9/2023,Central,Tablet,1,472.07,Store A,Wholesale,0.1,Carlos,424.863,Online,FREESHIP,0,REG100029,Cust 7072,33.17,5/9/2023,5/17/2023,Cameron
12/7/2024,North,Tablet,12,306.29,Store D,Retail,0,Frank,3675.48,Debit Card,SAVE10,0,REG100030,Cust 7201,37.38,12/7/2024,12/14/2024,Ryan
2/13/2024,North,Phone,7,434.77,Store C,Retail,0.15,Frank,2586.8815,Online,SAVE10,0,REG100031,Cust 9923,12.35,2/13/2024,2/15/2024,Ryan
3/9/2025,South,Desk,6,64.98,Store C,Retail,0,Carlos,389.88,Debit Card,WINTER15,0,REG100032,Cust 2205,21.25,3/9/2025,3/15/2025,Sophie
4/5/2023,Central,Desk,17,476.49,Store D,Retail,0,Alice,8100.33,Gift Card,,0,REG100033,Cust 6403,17.91,4/5/2023,4/11/2023,Cameron
5/8/2025,North,Monitor,4,559.72,Store D,Retail,0.15,Diana,1903.048,Online,SAVE10,0,REG100034,Cust 3953,41.91,5/8/2025,5/12/2025,Ryan
9/3/2023,North,Tablet,14,82.14,Store C,Retail,0,Alice,1149.96,Credit Card,,0,REG100035,Cust 7902,12.57,9/3/2023,9/11/2023,Ryan
3/21/2025,Central,Chair,9,343.21,Store A,Retail,0.05,Carlos,2934.4455,Debit Card,FREESHIP,0,REG100036,Cust 9968,40.29,3/21/2025,3/28/2025,Cameron
6/20/2025,South,Chair,7,301.01,Store B,Retail,0.15,Diana,1791.0095,Cash,SAVE10,1,REG100037,Cust 3787,34.97,6/20/2025,6/30/2025,Sophie
2/15/2024,Central,Printer,14,428.13,Store C,Retail,0.1,Bob,5394.438,Cash,,1,REG100038,Cust 2469,24.77,2/15/2024,2/25/2024,Cameron
6/9/2023,Central,Laptop,2,503.28,Store D,Retail,0.15,Alice,855.576,Gift Card,,0,REG100039,Cust 6468,34.79,6/9/2023,6/17/2023,Cameron
8/10/2023,South,Printer,5,470.32,Store A,Retail,0.1,Eva,2116.44,Debit Card,SAVE10,0,REG100040,Cust 5312,17.77,8/10/2023,8/14/2023,Sophie
6/16/2024,Central,Printer,20,65.17,Store C,Wholesale,0.05,Eva,1238.23,Gift Card,FREESHIP,0,REG100041,Cust 1482,21.72,6/16/2024,6/25/2024,Cameron
7/23/2023,South,Laptop,12,36.17,Store A,Retail,0,Eva,434.04,Online,WINTER15,0,REG100042,Cust 7903,34.85,7/23/2023,7/26/2023,Sophie
5/20/2023,Central,Printer,4,459.31,Store D,Wholesale,0.15,Carlos,1561.654,Gift Card,WINTER15,1,REG100043,Cust 9605,27.39,5/20/2023,5/27/2023,Cameron
6/30/2023,South,Laptop,2,416.06,Store D,Retail,0.05,Eva,790.514,Debit Card,SAVE10,0,REG100044,Cust 3298,11.62,6/30/2023,7/4/2023,Sophie
6/4/2024,South,Tablet,16,302.58,Store D,Retail,0,Alice,4841.28,Online,WINTER15,1,REG100045,Cust 5533,20.76,6/4/2024,6/14/2024,Sophie
2/3/2025,West,Chair,11,33.13,Store A,Retail,0.15,Frank,309.7655,Online,FREESHIP,0,REG100046,Cust 6362,24.95,2/3/2025,2/5/2025,Wendy
1/9/2024,East,Tablet,8,582.52,Store D,Retail,0.15,Frank,3961.136,Gift Card,WINTER15,0,REG100047,Cust 4826,6.47,1/9/2024,1/13/2024,Eric
3/14/2024,North,Desk,5,165.15,Store A,Retail,0.1,Eva,743.175,Gift Card,,0,REG100048,Cust 2171,20.57,3/14/2024,3/16/2024,Ryan
9/6/2024,West,Monitor,14,242.82,Store D,Wholesale,0.15,Alice,2889.558,Cash,WINTER15,1,REG100049,Cust 4005,20.71,9/6/2024,9/13/2024,Wendy
3/17/2023,East,Monitor,13,65.99,Store A,Wholesale,0.1,Frank,772.083,Cash,WINTER15,0,REG100050,Cust 7032,12.87,3/17/2023,3/20/2023,Eric
1/17/2025,West,Chair,2,251.69,Store C,Wholesale,0,Alice,503.38,Debit Card,FREESHIP,0,REG100051,Cust 7167,42.49,1/17/2025,1/24/2025,Wendy
9/12/2024,South,Laptop,1,269.41,Store B,Wholesale,0.1,Eva,242.469,Cash,WINTER15,1,REG100052,Cust 5702,19.22,9/12/2024,9/18/2024,Sophie
1/5/2024,South,Monitor,2,371.3,Store B,Wholesale,0.05,Bob,705.47,Credit Card,SAVE10,0,REG100053,Cust 4944,36.51,1/5/2024,1/15/2024,Sophie
4/19/2024,West,Tablet,11,288.24,Store A,Wholesale,0.15,Diana,2695.044,Online,,0,REG100054,Cust 8149,37.39,4/19/2024,4/25/2024,Wendy
6/11/2025,Central,Tablet,11,232.75,Store D,Wholesale,0.05,Eva,2432.2375,Credit Card,SAVE10,0,REG100055,Cust 3638,36.33,6/11/2025,6/21/2025,Cameron
3/6/2025,East,Phone,17,146.28,Store B,Retail,0.15,Carlos,2113.746,Cash,SAVE10,0,REG100056,Cust 9973,7.84,3/6/2025,3/15/2025,Eric
5/24/2023,East,Chair,5,100.38,Store C,Retail,0.1,Eva,451.71,Gift Card,WINTER15,1,REG100057,Cust 4214,18.35,5/24/2023,5/26/2023,Eric
1/27/2023,South,Phone,11,375.48,Store B,Retail,0.05,Bob,3923.766,Debit Card,WINTER15,0,REG100058,Cust 2647,15.95,1/27/2023,2/3/2023,Sophie
3/21/2024,South,Laptop,18,316.89,Store B,Wholesale,0.05,Bob,5418.819,Cash,FREESHIP,0,REG100059,Cust 3552,15.69,3/21/2024,3/27/2024,Sophie
1/25/2025,West,Laptop,20,295.06,Store D,Retail,0.15,Frank,5016.02,Online,SAVE10,1,REG100060,Cust 3354,13.66,1/25/2025,1/31/2025,Wendy
6/12/2023,Central,Phone,8,301.68,Store D,Retail,0,Eva,2413.44,Cash,SAVE10,0,REG100061,Cust 3903,36.54,6/12/2023,6/21/2023,Cameron
3/22/2025,Central,Chair,3,475.39,Store B,Retail,0.1,Alice,1283.553,Gift Card,,0,REG100062,Cust 5358,15.62,3/22/2025,3/26/2025,Cameron
2/24/2024,Central,Desk,16,47.25,Store D,Retail,0.15,Bob,642.6,Debit Card,FREESHIP,0,REG100063,Cust 8144,29.5,2/24/2024,2/27/2024,Cameron
12/9/2023,South,Chair,15,511.17,Store B,Wholesale,0,Frank,7667.55,Online,FREESHIP,0,REG100064,Cust 6747,21.77,12/9/2023,12/12/2023,Sophie
10/1/2023,Central,Monitor,3,66.58,Store B,Retail,0.1,Frank,179.766,Debit Card,FREESHIP,0,REG100065,Cust 8330,22.43,10/1/2023,10/5/2023,Cameron
7/31/2023,West,Tablet,5,490.52,Store D,Wholesale,0.05,Frank,2329.97,Online,,0,REG100066,Cust 7186,12.24,7/31/2023,8/7/2023,Wendy
12/24/2024,South,Chair,8,405.96,Store A,Wholesale,0.05,Carlos,3085.296,Credit Card,WINTER15,0,REG100067,Cust 8287,41.27,12/24/2024,12/31/2024,Sophie
11/15/2024,North,Phone,1,159.41,Store B,Retail,0.1,Bob,143.469,Credit Card,FREESHIP,0,REG100068,Cust 3986,35.14,11/15/2024,11/19/2024,Ryan
3/13/2025,West,Monitor,16,38.49,Store C,Retail,0.15,Carlos,523.464,Debit Card,SAVE10,0,REG100069,Cust 3213,8.38,3/13/2025,3/22/2025,Wendy
3/3/2024,East,Tablet,15,328.36,Store D,Retail,0.15,Alice,4186.59,Gift Card,WINTER15,0,REG100070,Cust 1907,15.76,3/3/2024,3/12/2024,Eric
2/11/2023,Central,Tablet,20,548.01,Store A,Wholesale,0.1,Eva,9864.18,Credit Card,WINTER15,1,REG100071,Cust 4639,5.89,2/11/2023,2/14/2023,Cameron
10/26/2023,South,Desk,13,484.45,Store B,Wholesale,0.05,Carlos,5982.9575,Gift Card,WINTER15,1,REG100072,Cust 4153,6.57,10/26/2023,11/5/2023,Sophie
10/21/2023,South,Monitor,13,195.84,Store A,Wholesale,0.05,Alice,2418.624,Credit Card,,0,REG100073,Cust 7096,33.52,10/21/2023,10/28/2023,Sophie
1/14/2024,Central,Tablet,19,29.94,Store D,Retail,0.15,Diana,483.531,Debit Card,FREESHIP,0,REG100074,Cust 3806,33.59,1/14/2024,1/20/2024,Cameron
7/27/2023,Central,Desk,10,553.91,Store D,Wholesale,0.1,Eva,4985.19,Online,,0,REG100075,Cust 9345,31.3,7/27/2023,7/31/2023,Cameron
10/23/2024,South,Phone,14,445.52,Store B,Retail,0.1,Bob,5613.552,Online,SAVE10,0,REG100076,Cust 4456,14.41,10/23/2024,10/25/2024,Sophie
9/26/2023,South,Chair,5,551.58,Store B,Retail,0.15,Alice,2344.215,Online,WINTER15,1,REG100077,Cust 1089,7.87,9/26/2023,10/1/2023,Sophie
12/16/2023,East,Phone,13,241.4,Store D,Retail,0,Carlos,3138.2,Gift Card,SAVE10,0,REG100078,Cust 7230,49.05,12/16/2023,12/20/2023,Eric
1/2/2024,Central,Printer,19,351.93,Store A,Wholesale,0,Alice,6686.67,Credit Card,,0,REG100079,Cust 6597,39.98,1/2/2024,1/5/2024,Cameron
2/16/2024,North,Phone,4,83.75,Store A,Retail,0.05,Alice,318.25,Debit Card,SAVE10,1,REG100080,Cust 4108,38.82,2/16/2024,2/25/2024,Ryan
5/3/2024,East,Monitor,5,416.95,Store A,Wholesale,0.15,Frank,1772.0375,Online,,1,REG100081,Cust 2883,24.03,5/3/2024,5/12/2024,Eric
5/27/2023,West,Monitor,18,142.43,Store C,Retail,0.05,Bob,2435.553,Credit Card,SAVE10,1,REG100082,Cust 5018,12.38,5/27/2023,6/2/2023,Wendy
1/5/2023,East,Desk,12,582.52,Store A,Wholesale,0,Bob,6990.24,Credit Card,FREESHIP,0,REG100083,Cust 1231,41.16,1/5/2023,1/11/2023,Eric
5/21/2025,East,Chair,20,129.56,Store A,Retail,0.15,Diana,2202.52,Online,WINTER15,0,REG100084,Cust 2209,40.21,5/21/2025,5/23/2025,Eric
7/21/2023,Central,Tablet,17,431.82,Store B,Retail,0,Eva,7340.94,Gift Card,FREESHIP,1,REG100085,Cust 6684,37.75,7/21/2023,7/25/2023,Cameron
5/25/2025,East,Laptop,15,15.85,Store C,Retail,0,Bob,237.75,Debit Card,WINTER15,0,REG100086,Cust 5289,23.49,5/25/2025,6/3/2025,Eric
11/16/2024,South,Tablet,20,548.34,Store B,Retail,0.1,Bob,9870.12,Gift Card,WINTER15,0,REG100087,Cust 9159,33.47,11/16/2024,11/22/2024,Sophie
11/19/2023,North,Laptop,16,525.83,Store C,Wholesale,0.05,Frank,7992.616,Online,,0,REG100088,Cust 4844,36.47,11/19/2023,11/25/2023,Ryan
1/12/2025,Central,Laptop,15,411.38,Store A,Wholesale,0.05,Bob,5862.165,Online,SAVE10,0,REG100089,Cust 3273,48.51,1/12/2025,1/21/2025,Cameron
3/29/2023,North,Monitor,19,559.95,Store A,Wholesale,0.1,Carlos,9575.145,Credit Card,WINTER15,0,REG100090,Cust 8160,18.3,3/29/2023,4/3/2023,Ryan
3/1/2025,North,Desk,8,179.9,Store C,Retail,0.05,Carlos,1367.24,Online,SAVE10,0,REG100091,Cust 4439,14.8,3/1/2025,3/5/2025,Ryan
10/18/2023,North,Chair,12,494.15,Store B,Wholesale,0.15,Diana,5040.33,Online,SAVE10,1,REG100092,Cust 1127,18.05,10/18/2023,10/20/2023,Ryan
4/13/2025,East,Desk,10,462.99,Store C,Wholesale,0,Bob,4629.9,Credit Card,WINTER15,0,REG100093,Cust 4696,5.01,4/13/2025,4/15/2025,Eric
5/13/2025,Central,Laptop,7,460.24,Store A,Retail,0.05,Alice,3060.596,Cash,SAVE10,1,REG100094,Cust 3014,11.54,5/13/2025,5/23/2025,Cameron
4/21/2024,West,Printer,17,309.52,Store B,Wholesale,0.05,Eva,4998.748,Online,FREESHIP,0,REG100095,Cust 2539,6.11,4/21/2024,4/27/2024,Wendy
1/31/2025,Central,Monitor,1,323.83,Store B,Wholesale,0.05,Eva,307.6385,Credit Card,WINTER15,0,REG100096,Cust 3916,27.48,1/31/2025,2/8/2025,Cameron
3/14/2025,Central,Chair,10,503.07,Store C,Retail,0,Bob,5030.7,Credit Card,FREESHIP,0,REG100097,Cust 6329,44.61,3/14/2025,3/19/2025,Cameron
5/26/2024,West,Laptop,20,491.68,Store D,Wholesale,0.15,Alice,8358.56,Online,SAVE10,1,REG100098,Cust 4384,43.46,5/26/2024,5/29/2024,Wendy
7/22/2023,North,Phone,17,468.45,Store A,Retail,0.05,Carlos,7565.4675,Credit Card,FREESHIP,0,REG100099,Cust 7756,17.88,7/22/2023,7/26/2023,Ryan
3/21/2024,North,Laptop,11,401.76,Store D,Retail,0.15,Frank,3756.456,Gift Card,SAVE10,0,REG100100,Cust 6086,48.03,3/21/2024,3/30/2024,Ryan
4/5/2023,West,Printer,3,221,Store B,Wholesale,0,Frank,663,Cash,FREESHIP,0,REG100101,Cust 3845,32.31,4/5/2023,4/8/2023,Wendy
8/26/2024,East,Monitor,6,188.45,Store C,Wholesale,0.05,Alice,1074.165,Gift Card,,0,REG100102,Cust 9996,6.77,8/26/2024,9/1/2024,Eric
7/7/2024,North,Desk,3,566.2,Store D,Retail,0,Bob,1698.6,Gift Card,FREESHIP,1,REG100103,Cust 1711,28.97,7/7/2024,7/17/2024,Ryan
9/29/2023,East,Monitor,14,167.09,Store D,Retail,0.05,Alice,2222.297,Gift Card,SAVE10,1,REG100104,Cust 4522,47.05,9/29/2023,10/8/2023,Eric
10/4/2023,West,Monitor,16,36.16,Store C,Wholesale,0.1,Carlos,520.704,Debit Card,FREESHIP,0,REG100105,Cust 4233,26.64,10/4/2023,10/11/2023,Wendy
6/9/2025,Central,Printer,2,73.94,Store B,Wholesale,0.05,Carlos,140.486,Debit Card,SAVE10,0,REG100106,Cust 4121,28.05,6/9/2025,6/16/2025,Cameron
6/12/2025,East,Printer,16,459.49,Store A,Wholesale,0.1,Eva,6616.656,Online,SAVE10,0,REG100107,Cust 9092,26.99,6/12/2025,6/14/2025,Eric
6/29/2024,East,Chair,3,168.05,Store A,Retail,0,Carlos,504.15,Cash,,1,REG100108,Cust 9090,21.08,6/29/2024,7/6/2024,Eric
3/23/2024,North,Printer,14,37.54,Store B,Retail,0.15,Alice,446.726,Credit Card,,1,REG100109,Cust 1983,49.6,3/23/2024,4/2/2024,Ryan
7/14/2024,South,Tablet,4,151.16,Store B,Wholesale,0,Alice,604.64,Gift Card,SAVE10,1,REG100110,Cust 8834,41.4,7/14/2024,7/21/2024,Sophie
3/15/2024,South,Tablet,17,78.58,Store A,Wholesale,0.1,Bob,1202.274,Gift Card,WINTER15,0,REG100111,Cust 9780,8.02,3/15/2024,3/25/2024,Sophie
4/19/2025,Central,Chair,15,37.33,Store B,Retail,0.05,Carlos,531.9525,Cash,,1,REG100112,Cust 1293,43.69,4/19/2025,4/24/2025,Cameron
2/15/2024,West,Tablet,18,537.02,Store A,Wholesale,0.15,Carlos,8216.406,Debit Card,SAVE10,0,REG100113,Cust 3173,23.94,2/15/2024,2/20/2024,Wendy
1/25/2024,East,Desk,5,215.6,Store C,Wholesale,0,Frank,1078,Online,WINTER15,0,REG100114,Cust 8641,28.36,1/25/2024,2/4/2024,Eric
4/15/2025,Central,Laptop,18,209.5,Store D,Wholesale,0,Carlos,3771,Credit Card,FREESHIP,0,REG100115,Cust 7656,38.23,4/15/2025,4/23/2025,Cameron
4/15/2025,Central,Chair,8,348.98,Store A,Retail,0.1,Frank,2512.656,Online,FREESHIP,0,REG100116,Cust 5523,19.17,4/15/2025,4/20/2025,Cameron
8/11/2024,West,Printer,2,289.14,Store C,Retail,0.05,Diana,549.366,Online,SAVE10,0,REG100117,Cust 2015,5.13,8/11/2024,8/13/2024,Wendy
12/1/2023,South,Desk,5,396.93,Store B,Wholesale,0,Diana,1984.65,Credit Card,FREESHIP,0,REG100118,Cust 6895,48.63,12/1/2023,12/8/2023,Sophie
8/6/2023,Central,Laptop,10,508.57,Store D,Retail,0.05,Bob,4831.415,Online,SAVE10,0,REG100119,Cust 1797,9.35,8/6/2023,8/11/2023,Cameron
1/24/2024,Central,Laptop,11,259.61,Store C,Wholesale,0.1,Carlos,2570.139,Cash,FREESHIP,0,REG100120,Cust 9969,13.73,1/24/2024,1/31/2024,Cameron
3/7/2024,Central,Chair,9,313.29,Store D,Retail,0,Carlos,2819.61,Online,FREESHIP,0,REG100121,Cust 1815,14.04,3/7/2024,3/13/2024,Cameron
1/22/2024,South,Tablet,5,106.57,Store C,Wholesale,0.1,Carlos,479.565,Debit Card,SAVE10,1,REG100122,Cust 7773,25.24,1/22/2024,1/28/2024,Sophie
2/23/2023,East,Printer,1,109,Store B,Retail,0.15,Frank,92.65,Cash,WINTER15,1,REG100123,Cust 1499,8.03,2/23/2023,2/27/2023,Eric
6/14/2023,North,Tablet,8,323.8,Store B,Retail,0,Diana,2590.4,Cash,SAVE10,1,REG100124,Cust 3809,35.23,6/14/2023,6/22/2023,Ryan
5/13/2025,North,Laptop,16,384.32,Store A,Retail,0.05,Frank,5841.664,Cash,FREESHIP,0,REG100125,Cust 7824,21.5,5/13/2025,5/15/2025,Ryan
7/30/2024,Central,Printer,16,163.86,Store C,Retail,0.15,Diana,2228.496,Gift Card,FREESHIP,0,REG100126,Cust 7258,37.95,7/30/2024,8/6/2024,Cameron
7/18/2024,East,Tablet,5,23.41,Store B,Wholesale,0,Frank,117.05,Credit Card,WINTER15,0,REG100127,Cust 1151,26.44,7/18/2024,7/27/2024,Eric
8/26/2024,East,Printer,20,488.9,Store C,Wholesale,0.15,Eva,8311.3,Gift Card,FREESHIP,0,REG100128,Cust 6486,21.77,8/26/2024,9/1/2024,Eric
6/8/2025,West,Tablet,7,452.56,Store A,Wholesale,0.05,Frank,3009.524,Gift Card,FREESHIP,0,REG100129,Cust 4034,46.97,6/8/2025,6/15/2025,Wendy
5/16/2025,North,Desk,11,465.24,Store A,Wholesale,0,Carlos,5117.64,Debit Card,,1,REG100130,Cust 9794,17.59,5/16/2025,5/23/2025,Ryan
7/18/2024,East,Phone,14,442.65,Store B,Retail,0,Eva,6197.1,Gift Card,SAVE10,0,REG100131,Cust 2414,28.76,7/18/2024,7/24/2024,Eric
9/17/2023,West,Laptop,12,469.44,Store B,Wholesale,0,Bob,5633.28,Online,FREESHIP,0,REG100132,Cust 9024,33.3,9/17/2023,9/26/2023,Wendy
3/13/2023,East,Monitor,14,248.77,Store C,Wholesale,0.05,Bob,3308.641,Debit Card,FREESHIP,1,REG100133,Cust 2663,21.76,3/13/2023,3/19/2023,Eric
3/29/2023,South,Chair,4,565.29,Store D,Wholesale,0.05,Alice,2148.102,Cash,,0,REG100134,Cust 2293,27.04,3/29/2023,4/3/2023,Sophie
7/14/2023,Central,Desk,12,244.8,Store B,Wholesale,0.05,Frank,2790.72,Online,FREESHIP,0,REG100135,Cust 8963,44.75,7/14/2023,7/23/2023,Cameron
3/22/2024,West,Laptop,13,290.93,Store C,Retail,0.05,Diana,3592.9855,Credit Card,FREESHIP,0,REG100136,Cust 9238,26.09,3/22/2024,3/31/2024,Wendy
5/14/2024,Central,Laptop,11,229.49,Store C,Retail,0.1,Bob,2271.951,Cash,,0,REG100137,Cust 1390,35.39,5/14/2024,5/17/2024,Cameron
5/30/2023,Central,Monitor,2,427.36,Store A,Wholesale,0.05,Diana,811.984,Online,SAVE10,0,REG100138,Cust 8548,19.42,5/30/2023,6/2/2023,Cameron
3/19/2023,North,Phone,2,443.51,Store C,Wholesale,0.05,Alice,842.669,Cash,,0,REG100139,Cust 2919,13.65,3/19/2023,3/22/2023,Ryan
8/9/2023,Central,Desk,13,280.63,Store B,Wholesale,0.15,Alice,3100.9615,Credit Card,SAVE10,0,REG100140,Cust 5847,10.14,8/9/2023,8/14/2023,Cameron
10/13/2024,North,Chair,13,416.66,Store B,Wholesale,0.15,Bob,4604.093,Credit Card,WINTER15,0,REG100141,Cust 5711,21.74,10/13/2024,10/20/2024,Ryan
2/17/2025,East,Chair,11,589.48,Store B,Retail,0,Alice,6484.28,Online,WINTER15,0,REG100142,Cust 5461,49.93,2/17/2025,2/25/2025,Eric
6/11/2025,North,Phone,18,152.84,Store C,Retail,0.15,Diana,2338.452,Debit Card,FREESHIP,1,REG100143,Cust 8905,20.3,6/11/2025,6/20/2025,Ryan
4/29/2024,Central,Tablet,4,163.66,Store B,Retail,0,Bob,654.64,Gift Card,WINTER15,1,REG100144,Cust 9618,31.8,4/29/2024,5/1/2024,Cameron
3/18/2023,West,Laptop,19,484.25,Store C,Wholesale,0.15,Bob,7820.6375,Debit Card,FREESHIP,1,REG100145,Cust 5203,29.51,3/18/2023,3/20/2023,Wendy
12/21/2024,North,Chair,9,380.4,Store B,Retail,0.1,Carlos,3081.24,Credit Card,,0,REG100146,Cust 1732,31,12/21/2024,12/27/2024,Ryan
4/23/2023,West,Chair,17,332.38,Store A,Retail,0.1,Frank,5085.414,Credit Card,SAVE10,1,REG100147,Cust 4734,33.81,4/23/2023,5/2/2023,Wendy
5/11/2025,Central,Chair,15,210.94,Store C,Wholesale,0.05,Frank,3005.895,Online,SAVE10,0,REG100148,Cust 5895,10.91,5/11/2025,5/21/2025,Cameron
3/3/2024,South,Phone,9,382.8,Store D,Wholesale,0,Eva,3445.2,Cash,,0,REG100149,Cust 9691,47.94,3/3/2024,3/5/2024,Sophie
1/20/2025,North,Monitor,3,386.29,Store C,Retail,0.15,Carlos,985.0395,Credit Card,FREESHIP,0,REG100150,Cust 5406,32.45,1/20/2025,1/30/2025,Ryan
3/22/2025,North,Tablet,5,225.99,Store C,Retail,0,Eva,1129.95,Online,SAVE10,1,REG100151,Cust 5750,10.88,3/22/2025,3/30/2025,Ryan
3/28/2025,South,Printer,20,312.56,Store D,Retail,0.15,Frank,5313.52,Gift Card,WINTER15,0,REG100152,Cust 6506,47.39,3/28/2025,3/30/2025,Sophie
2/17/2025,North,Phone,13,433.77,Store C,Wholesale,0.05,Frank,5357.0595,Cash,FREESHIP,0,REG100153,Cust 8280,17.61,2/17/2025,2/21/2025,Ryan
11/8/2024,South,Tablet,20,159.33,Store A,Wholesale,0,Eva,3186.6,Online,FREESHIP,0,REG100154,Cust 4358,26.32,11/8/2024,11/11/2024,Sophie
3/17/2024,South,Phone,18,32.23,Store B,Retail,0.05,Bob,551.133,Credit Card,FREESHIP,0,REG100155,Cust 3588,6.04,3/17/2024,3/21/2024,Sophie
